% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:38
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              (emw.Vport_1) (V)
30                                                4.9143904303001696E-5                             -2.6556028118118166E-5-4.135094558450031E-5i
35                                                7.399121309918014E-5                              -4.668599130471001E-5-5.740311691698308E-5i
40                                                1.1235404986272009E-4                             -8.093732446477901E-5-7.792677350588613E-5i
42                                                1.3332357979648648E-4                             -1.0072623280420221E-4-8.734645359042207E-5i
44                                                1.5870094853329312E-4                             -1.253801729261463E-4-9.72923599383662E-5i
46                                                1.8962049998909477E-4                             -1.5621453410598557E-4-1.0748466565126469E-4i
48                                                2.2758875697427547E-4                             -1.9495894683487508E-4-1.1742083013729794E-4i
50                                                2.746405838293058E-4                              -2.4391632072786568E-4-1.2622313087815124E-4i
50.5                                              2.881300898020206E-4                              -2.580923187476074E-4-1.280909975478522E-4i
51                                                3.0240957227570817E-4                             -2.73153704056138E-4-1.2976364423207505E-4i
51.5                                              3.175376959236568E-4                              -2.891625960724959E-4-1.3120663613216862E-4i
52                                                3.335774767650085E-4                              -3.0618645036358455E-4-1.323774550996429E-4i
52.5                                              3.5059799255252706E-4                             -3.242984101692589E-4-1.3322722523400745E-4i
53                                                3.6867484496716193E-4                             -3.4357756052200215E-4-1.33699667977564E-4i
53.5                                              3.8789089425642455E-4                             -3.6410940720443076E-4-1.3372989730156356E-4i
54                                                4.083370868548963E-4                              -3.85986372997065E-4-1.3324299742092932E-4i
54.5                                              4.301133876888015E-4                              -4.0930830095937585E-4-1.3215234025504903E-4i
55                                                4.533298298791821E-4                              -4.3418294896980315E-4-1.3035759081148095E-4i
55.5                                              4.781076960662504E-4                              -4.6072645258720925E-4-1.2774233802535507E-4i
56                                                5.045808460690782E-4                              -4.890637223452818E-4-1.2417127568630353E-4i
56.5                                              5.328972058200441E-4                              -5.193287267264556E-4-1.1948684265428087E-4i
57                                                5.632204320513497E-4                              -5.516645915537222E-4-1.1350521356296327E-4i
57.5                                              5.95731764428994E-4                               -5.862234172254617E-4-1.0601150997030748E-4i
58                                                6.30632073497574E-4                               -6.231656765392638E-4-9.675407850427376E-5i
58.5                                              6.681441032369652E-4                              -6.626589994903853E-4-8.54376561284886E-5i
59                                                7.085148945272842E-4                              -7.048760766954213E-4-7.171521644308947E-5i
59.5                                              7.520183530059802E-4                              -7.499913080312876E-4-5.5178266875149305E-5i
60                                                7.989578908145383E-4                              -7.981756808051701E-4-3.5345351406077395E-5i
60.5                                              8.496690176902362E-4                              -8.495891664005692E-4-1.1648517393930231E-5i
61                                                9.045216764085616E-4                              -9.043696618868298E-4+1.6582453125390977E-5i
61.5                                              9.639219927667922E-4                              -9.62617148947359E-4+5.013813610378695E-5i
62                                                0.0010283129105735649                             -0.0010243712656808728+8.994971984193887E-5i
62.5                                              0.0010981726954399757                             -0.0010895797590678251+1.3711023900351776E-4i
63                                                0.0011740048806774463                             -0.0011580519919946505+1.928809054616013E-4i
63.5                                              0.0012564002833884802                             -0.001229454673584798+2.5881050538792053E-4i
64                                                0.0013457947469160427                             -0.0013030406541513985+3.365242256591803E-4i
64.5                                              0.001442785617113009                              -0.0013778480050271715+4.2797805082832226E-4i
65                                                0.0015478265534117665                             -0.0014523226208262095+5.352812760437621E-4i
65.5                                              0.0016612688876977357                             -0.0015242476122609653+6.606690046832966E-4i
66                                                0.0017832660929418757                             -0.0015905414905115235+8.063595508193374E-4i
66.5                                              0.001913659106582236                              -0.001647059015910311+9.743140019078445E-4i
67                                                0.0020518293342447875                             -0.0016884247145051677+0.0011658583105658895i
67.5                                              0.002196523520139821                              -0.0017079714365571292+0.001381140523781852i
68                                                0.0023456688699546643                             -0.0016978964092369112+0.0016184283212347698i
68.5                                              0.002496218081696186                              -0.001649777348280279+0.0018733230934593948i
69                                                0.0026440892446572607                             -0.0015555769575161377+0.002138080508997975i
69.5                                              0.0027842833254285207                             -0.0014091570084029863+0.0024013559007211006i
70                                                0.002911251328523005                              -0.0012080932681317034+0.002648753471601655i
70.5                                              0.0030195232596174192                             -9.552820535958873E-4+0.0028644295965249747i
71                                                0.0031045031262466887                             -6.596375907966081E-4+0.003033614660711461i
71.5                                              0.0031632235554603823                             -3.353293622490101E-4+0.0031453994151193414i
72                                                0.0031948167476574148                             4.3630513661349903E-7+0.0031948167178650687i
72.5                                              0.0032005441133081064                             3.304049185987557E-4+0.00318344392301748i
73                                                0.0031833988112095275                             6.400030466842321E-4+0.0031184008869042375i
73.5                                              0.0031474500452364457                             9.190017802079624E-4+0.003010295253830345i
74                                                0.0030971509160370616                             0.0011618877711951322+0.002870951167097138i
74.5                                              0.003036779774730769                              0.001367236428655438+0.002711585504528925i
75                                                0.002970087442711193                              0.0015365954072887999+0.0025417108355691603i
75.5                                              0.0029001399215922014                             0.0016733192487992951+0.0023687157398916787i
76                                                0.0028293042382684036                             0.0017816093780571778+0.002197915034004333i
76.5                                              0.002759319117343825                              0.001865842748794576+0.0020328484518305355i
77                                                0.002691399239700953                              0.0019301610346812437+0.0018756620824821023i
77.5                                              0.0026263413710590107                             0.001978250521239533+0.0017274819456514275i
78                                                0.002564505669628415                              0.0020131708342969903+0.0015886574588287574i
78.5                                              0.0025064188796966825                             0.0020378282251133297+0.001459243545619246i
79                                                0.002451993906853299                              0.0020542413109066963+0.0013387930220202231i
79.5                                              0.0024012451365952544                             0.0020642128433348305+0.0012267858588335201i
80                                                0.002354091012822609                              0.002069178381881844+0.0011226064851963978i
80.5                                              0.0023103993706168335                             0.0020702830625115042+0.0010256087425644575i
81                                                0.002270010819890364                              0.002068439201609692+9.351515340647118E-4i
81.5                                              0.002232752696382811                              0.0020643713726775166+8.506206198266403E-4i
82                                                0.0021984484257728284                             0.0020586537389141587+7.714403826853902E-4i
82.5                                              0.0021669237984731833                             0.0020517405293155153+6.970792987555563E-4i
83                                                0.002138011124409217                              0.0020439907179533793+6.270514436774643E-4i
83.5                                              0.0021115519821405596                             0.002035687964860093+5.609155756488669E-4i
84                                                0.0020873991354312628                             0.002027056820167859+4.982728152429666E-4i
84.5                                              0.002065418158483306                              0.002018276165952027+4.3876358935371655E-4i
85                                                0.002045489451164674                              0.002009490977747887+3.820642683839982E-4i
85.5                                              0.00202751186188798                               0.0020008239767146437+3.278837664482059E-4i
86                                                0.0020114108226420508                             0.0019923903811214973+2.75960262820765E-4i
86.5                                              0.0019971596687834475                             0.001984324689033378+2.2605811444802512E-4i
87                                                0.0019848470018969406                             0.0019768525729321165+1.7796495674976054E-4i
87.5                                              0.001974965867675827                              0.0019705838987539503+1.3148869326376784E-4i
88                                                0.0019707801607438784                             0.0019688835223973964+8.644140913756605E-5i
88.5                                              0.00189408416396443                               0.0018936287655431801+4.153213801679162E-5i
89                                                0.0019351523263721132                             0.0019351523259732051+3.929243516145309E-8i
89.5                                              0.0019324678377605554                             0.0019320215337925702-4.152995233275191E-5i
90                                                0.0019286271143655414                             0.0019268734623828611-8.222655429141977E-5i
90.5                                              0.0019252641606457824                             0.0019213857507133683-1.2214288854753343E-4i
91                                                0.0019227166167100074                             0.0019159322336162706-1.6137801697550333E-4i
91.5                                              0.0019210799241123123                             0.0019106381583708166-2.0002475497983316E-4i
92                                                0.00192037948948371                               0.0019055531697136623-2.3816905975363104E-4i
92.5                                              0.0019206158806311534                             0.0019006970748216548-2.758912660759406E-4i
93                                                0.00192178031797731                               0.0018960758228956174-3.1326676235387266E-4i
93.5                                              0.0019238609330083116                             0.0018916881716225388-3.5036659501012257E-4i
94                                                0.001926845611642769                              0.0018875288642257997-3.872580506864368E-4i
94.5                                              0.0019307234225861697                             0.0018835903222284834-4.240052270079357E-4i
95                                                0.0019354854261663845                             0.0018798636543109635-4.6066959537514646E-4i
95.5                                              0.0019411234688866239                             0.0018763386838029413-4.973062086150601E-4i
96                                                0.0019476388802964685                             0.0018730073291763783-5.339857234927278E-4i
96.5                                              0.0019550272196520043                             0.0018698591856641518-5.707521838483341E-4i
97                                                0.0019632938279961903                             0.0018668861884781726-6.076665321682411E-4i
97.5                                              0.0019724480873014923                             0.001864082239982646-6.447859022036665E-4i
98                                                0.0019825061038827078                             0.001861444485390897-6.821692456714925E-4i
98.5                                              0.0019934936133396567                             0.001858975784085744-7.198790319274441E-4i
99                                                0.0020054510604545026                             0.001856688965437776-7.579841960751486E-4i
99.5                                              0.0020184433489367744                             0.001854615031811957-7.965655256438326E-4i
100                                               0.0020325801709943875                             0.0018528203382331084-8.357265974882711E-4i
100.5                                             0.0020480632594462706                             0.0018514466574138199-8.75618860832083E-4i
101                                               0.0020653139871042478                             0.0018508195840197781-9.165089921748181E-4i
101.5                                             0.0020854053133620484                             0.001851814640813631-9.590087888371756E-4i
102                                               0.0021121816622381323                             0.0018576632165038446-0.001005185927251088i
102.5                                             0.0021787143706884548                             0.0018963726180769806-0.0010726449563822351i
103                                               0.002040382351152546                              0.0017595821497572953-0.0010329718278589632i
103.5                                             0.0021155756358356252                             0.0018041493803864924-0.0011048553227424604i
104                                               0.0021468685702513697                             0.0018100306978029923-0.0011544840973109908i
104.5                                             0.002173203251488755                              0.0018105434217808585-0.0012019754116151286i
105                                               0.0021990726200871954                             0.001809412025864138-0.0012497793841616206i
105.5                                             0.0022278182275017053                             0.0018091031324685058-0.0013001230368243919i
106                                               0.0022301216714769316                             0.001788506159119903-0.0013321743085577184i
106.5                                             0.002269872738127996                              0.0017936372280983855-0.0013911102548957884i
107                                               0.002298941101238952                              0.0017896207738088532-0.0014430480494140063i
107.5                                             0.002328130313466214                              0.0017841919730637859-0.001495610163022118i
108                                               0.0023582187832278693                             0.0017777965961097042-0.0015493983001247556i
108.5                                             0.002389462991821869                              0.001770487184120113-0.001604652149268729i
109                                               0.002422022347687628                              0.0017622282634293606-0.0016615486150784243i
109.5                                             0.0024560460120359165                             0.0017529556373072127-0.001720264092187706i
110                                               0.0024917187357651285                             0.0017426038129915084-0.0017810093231396703i
110.5                                             0.0025293280819314702                             0.0017311439138883906-0.0018440827789050888i
111                                               0.0025694520990522576                             0.0017186871891052724-0.0019100257682370335i
111.5                                             0.002613708451816463                              0.0017059498270873639-0.0019802037921783215i
112                                               0.002672467405805222                              0.0016988353844203633-0.0020630172979722223i
112.5                                             0.002656220562204757                              0.001642423103097478-0.0020875713222524893i
113                                               0.0027441725003627404                             0.0016454898389923556-0.002196097880678365i
113.5                                             0.0028954893119201453                             0.001676703768820774-0.002360619161801837i
114                                               0.0027126407614621443                             0.0015210186077703701-0.002246090446879245i
114.5                                             0.0028158652642806116                             0.0015171180782608106-0.002372224678059889i
115                                               0.002877976641784917                              0.0014843714519469984-0.002465642095541108i
115.5                                             0.0029343436280717477                             0.0014417182699334354-0.002555742740916114i
116                                               0.0029889134603145657                             0.0013904197477672131-0.0026458149213935108i
116.5                                             0.003043053025165531                              0.0013300951831894732-0.002736972509475616i
117                                               0.0030968746245732294                             0.0012595186744702785-0.0028291774686269176i
117.5                                             0.00315001429981611                               0.0011769139487518773-0.00292189384582658i
118                                               0.003201703718413053                              0.0010800263325270994-0.003014042106797454i
118.5                                             0.003250691598519257                              9.66044129245869E-4-0.003103829023808057i
119                                               0.0032950615843470254                             8.315169167327667E-4-0.0031884181754949837i
