% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:41
% Table:              Table 10 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
30                                                0.9999329359754217                                0.9997056142899066-0.021320441028908968i
35                                                0.9999326350560919                                0.999622526405613-0.024901392585133818i
40                                                0.9999325623712676                                0.9995264597840114-0.028495358955625178i
42                                                0.9999325059414956                                0.9994842608323942-0.029937080464898076i
44                                                0.9999324634127438                                0.9994399161303437-0.03138129111508609i
46                                                0.9999324138562017                                0.9993933878482953-0.03282816786536996i
48                                                0.9999323548088788                                0.9993446565570318-0.03427785880911394i
50                                                0.9999322824180376                                0.999293700588385-0.03573051057733617i
50.5                                              0.9999322744607192                                0.999280624397759-0.03609414372737024i
51                                                0.9999322524418188                                0.9992673942756473-0.036457978700519506i
51.5                                              0.9999322289107938                                0.9992540224488684-0.036822018335020495i
52                                                0.9999322037336108                                0.9992405086532518-0.037186259961792305i
52.5                                              0.9999321767205673                                0.999226852377625-0.03755070610036328i
53                                                0.9999321476538436                                0.9992130530762531-0.03791535933709663i
53.5                                              0.9999321162837138                                0.9991991101662206-0.03828022229114553i
54                                                0.9999320823229737                                0.9991850230219075-0.038645297611332466i
54.5                                              0.9999320454415914                                0.9991707909680854-0.039010588014224426i
55                                                0.9999320052578634                                0.9991564132731866-0.039376096226934734i
55.5                                              0.9999319613307271                                0.9991418891390523-0.039741825050700334i
56                                                0.9999319131487177                                0.9991272176912024-0.04010777732424753i
56.5                                              0.99993186011727                                  0.9991123979648132-0.04047395595422196i
57                                                0.9999318015436044                                0.9990974288917263-0.040840363859547736i
57.5                                              0.9999317366191601                                0.999082309279311-0.04120700405669823i
58                                                0.9999316643973916                                0.9990670377909361-0.04157387959021864i
58.5                                              0.9999315837682184                                0.9990516129201052-0.04194099353799347i
59                                                0.9999314934270743                                0.9990360329587243-0.04230834902703986i
59.5                                              0.9999313918380198                                0.999020295960718-0.042675949218255474i
60                                                0.999931277189971                                 0.9990043996999415-0.043043797264254585i
60.5                                              0.9999311473451028                                0.9989883416182048-0.04341189631659274i
61                                                0.9999309997785918                                0.9989721187684251-0.04378024944581435i
61.5                                              0.999930831511981                                 0.9989557277495927-0.044148859606148554i
62                                                0.9999306390574181                                0.9989391646549283-0.04451772955004053i
62.5                                              0.9999304187540919                                0.9989224254648601-0.044886860584526796i
63                                                0.9999301749690206                                0.998905515507344-0.04525622501472584i
63.5                                              0.999929870559134                                 0.9988883934645537-0.04562590753299317i
64                                                0.9999295325960643                                0.9988710890641734-0.04599584317670236i
64.5                                              0.9999291416544825                                0.9988535824954682-0.04636603353575836i
65                                                0.9999286897681378                                0.998835865159803-0.04673648566048169i
65.5                                              0.9999281683321655                                0.9988179284443406-0.04710719310546617i
66                                                0.9999275686607161                                0.9987997637757174-0.04747814707106996i
66.5                                              0.9999268829111861                                0.998781363627123-0.04784933478770254i
67                                                0.9999261054974028                                0.9987627229682203-0.04822073894403773i
67.5                                              0.9999252351264505                                0.9987438413216453-0.048592337510881746i
68                                                0.9999242774586338                                0.9987247254035092-0.048964104391440985i
