% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:41
% Table:              Table 8 - Global Evaluation 6
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              (emw.Zport_2) (Ω)
30                                                4689.643766631495                                 0.032286026911615986-4689.6437665203575i
35                                                4015.0808208237354                                0.07263358049545597-4015.080820166758i
40                                                3508.5115723381928                                0.0648094439433974-3508.5115717396106i
42                                                3339.4767378670995                                0.0651683153393341-3339.476737231235i
44                                                3185.7186502903924                                0.06377461650246842-3185.718649652043i
46                                                3045.2395581268925                                0.06301679635596517-3045.239557474872i
48                                                2916.378072530585                                 0.06296019254084602-2916.3780718509774i
50                                                2797.7390382393764                                0.06374499524254089-2797.7390375131786i
50.5                                              2769.5348814540907                                0.06311077536082332-2769.5348807350224i
51                                                2741.8779373444177                                0.06354621814524933-2741.877936608039i
51.5                                              2714.752264213756                                 0.06406330352438071-2714.7522634578663i
52                                                2688.1428995098345                                0.06466666821512397-2688.1428987320155i
52.5                                              2662.0350685284593                                0.06536442115790303-2662.0350677259703i
53                                                2636.4145505164897                                0.06616590248108868-2636.4145496862093i
53.5                                              2611.267655274761                                 0.0670818088940998-2611.267654413117i
54                                                2586.5811988425176                                0.06812442162297075-2586.5811979453997i
54.5                                              2562.3424777983914                                0.06930778787279339-2562.342476861052i
55                                                2538.5392512400254                                0.07064810639196478-2538.5392502569493i
55.5                                              2515.1597158770755                                0.07216399012631995-2515.159714841825i
56                                                2492.1924889064944                                0.07387690299345426-2492.1924878115155i
56.5                                              2469.6265875641957                                0.07581164575442603-2469.6265864005773i
57                                                2447.4514150083423                                0.07799692466146002-2447.4514137655146i
57.5                                              2425.6567384444706                                0.0804659965514554-2425.6567371098267i
58                                                2404.2326775989986                                0.08325750468875655-2404.2326761574136i
58.5                                              2383.16968930116                                  0.08641640353339887-2383.169687734382i
59                                                2362.4585522634175                                0.0899950783356608-2362.458550549289i
59.5                                              2342.090354366176                                 0.09405465793545585-2342.0903524776327i
60                                                2322.0564819691017                                0.09866654720987554-2322.0564798728806i
60.5                                              2302.3486069942087                                0.1039141988323431-2302.348604649177i
61                                                2282.9586791983465                                0.10989513400398893-2282.9586765533268i
61.5                                              2263.8789163067454                                0.11672306055591074-2263.8789132976904i
62                                                2245.101797100156                                 0.12452920085214278-2245.101793646522i
62.5                                              2226.620113014647                                 0.13344400515343063-2226.6201090159175i
63                                                2208.4283169768723                                0.14319701428836945-2208.4283123343434i
63.5                                              2190.5154955480853                                0.15552648561211066-2190.515490026899i
