% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:43
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              (emw.Vport_1) (V)
30                                                4.8980225145945916E-5                             -2.647629899613212E-5-4.1207621222474924E-5i
35                                                7.378557904213153E-5                              -4.657182700071094E-5-5.723090602461655E-5i
40                                                1.121375367400888E-4                              -8.081035231318052E-5-7.774647326505818E-5i
42                                                1.3313431304661378E-4                             -1.0062141905195218E-4-8.717841096490112E-5i
44                                                1.585832498362984E-4                              -1.2533591014142557E-4-9.715738138537043E-5i
46                                                1.8967207513248581E-4                             -1.5632453659749528E-4-1.0741571273627381E-4i
48                                                2.2808893117880975E-4                             -1.9549080328753974E-4-1.1750704811322701E-4i
50                                                2.6361803520961774E-4                             -2.3540489232154953E-4-1.1865498370847695E-4i
50.5                                              2.8793703610881634E-4                             -2.579809118394589E-4-1.2788113969468338E-4i
51                                                3.031400864009471E-4                              -2.739044000757787E-4-1.2988568667217113E-4i
51.5                                              3.190016225179137E-4                              -2.906104317849374E-4-1.315583980855413E-4i
52                                                3.359418085983804E-4                              -3.08495128135573E-4-1.3299494231348518E-4i
52.5                                              3.5432737074138197E-4                             -3.2791707866132853E-4-1.3423216894143086E-4i
53                                                3.7492290949096146E-4                             -3.4962521555103926E-4-1.353861023593523E-4i
53.5                                              4.005952247242122E-4                              -3.7642202955813356E-4-1.3705104791710888E-4i
54                                                4.756428799918902E-4                              -4.536648558243657E-4-1.4291377777120437E-4i
54.5                                              4.0359822883220505E-4                             -3.845064750666567E-4-1.2266336432817856E-4i
55                                                4.409832196994184E-4                              -4.2253504696487386E-4-1.262154275152501E-4i
55.5                                              4.6963042163626807E-4                             -4.527218039217299E-4-1.2488274972995126E-4i
56                                                4.979212160088429E-4                              -4.8278008200090816E-4-1.2185618480373162E-4i
56.5                                              5.273106789217894E-4                              -5.14064362812173E-4-1.1744949123547928E-4i
57                                                5.583581453733672E-4                              -5.470894253154309E-4-1.116108382408171E-4i
57.5                                              5.914076262903966E-4                              -5.821602216350885E-4-1.0417512553496634E-4i
58                                                6.267401124460252E-4                              -6.195118628155348E-4-9.491164512156725E-5i
58.5                                              6.646233507768634E-4                              -6.593530413947367E-4-8.353301862961908E-5i
59                                                7.053325154745999E-4                              -7.018809378886931E-4-6.969294379071024E-5i
59.5                                              7.491608272997925E-4                              -7.472852086485937E-4-5.297888348707688E-5i
60                                                7.964261296544216E-4                              -7.957462353569389E-4-3.2901503181172885E-5i
60.5                                              8.474755341181704E-4                              -8.474289951972605E-4-8.881386594419648E-6i
61                                                9.026888424955537E-4                              -9.024723920309231E-4+1.976684061620491E-5i
61.5                                              9.624807867101236E-4                              -9.609730124422435E-4+5.385289355102705E-5i
62                                                0.001027301594782036                              -0.0010229614630089736+9.433139371521314E-5i
62.5                                              0.0010976338995837746                             -0.0010883678006713272+1.423225490825047E-4i
63                                                0.0011739657106870534                             -0.001156957089980506+1.9911248532625375E-4i
63.5                                              0.0012570197439718271                             -0.0012284822216756086+2.663269940542243E-4i
64                                                0.0013470285352136042                             -0.0013019454083303113+3.4557781816448675E-4i
64.5                                              0.0014446919338004906                             -0.001376413883591376+4.38884500347309E-4i
65                                                0.0015504322109236154                             -0.0014502115118873698+5.48385458832416E-4i
65.5                                              0.0016645648259928927                             -0.0015209725446715854+6.763272715838028E-4i
66                                                0.0017871871288971009                             -0.0015854252024578741+8.24902879802751E-4i
66.5                                              0.0019180552078867095                             -0.0016391920491283702+9.95984541333681E-4i
67                                                0.002056429004711155                              -0.0016766358419337355+0.0011907109241795278i
67.5                                              0.0022008916801757234                             -0.001690831799046141+0.001408904544389402i
68                                                0.0023491657832760207                             -0.001673788504925357+0.0016483361059245708i
68.5                                              0.002497971950860832                              -0.001617064622965726+0.0019039343141085997i
69                                                0.002643001355395018                              -0.0015128980439689937+0.0021671630472058843i
69.5                                              0.0027790868373334353                             -0.0013558282453416727+0.0024259129041607564i
70                                                0.0029006368712594798                             -0.0011445331173574854+0.0026652838877278986i
70.5                                              0.003002322543898358                              -8.832998594620281E-4+0.0028694462908154723i
71                                                0.0030798911606961764                             -5.824156167579613E-4+0.0030243216778462713i
71.5                                              0.0031308780233936266                             -2.570195297473738E-4+0.0031203105868963786i
