% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:45
% Table:              Table 10 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
30                                                0.9996005196601838                                0.9993736740744233-0.021294564374454372i
35                                                0.999600463154371                                 0.9992910060909531-0.024871089324025254i
40                                                0.9996004065012557                                0.9991951579999019-0.028460655421592956i
42                                                0.9996003537430912                                0.9991530512750536-0.02990062425875211i
44                                                0.9996003384116497                                0.9991088290480337-0.03134300992169991i
46                                                0.9996002944607204                                0.9990624044182383-0.03278811925083955i
48                                                0.9996002391279393                                0.9990137793478109-0.034236044424505785i
50                                                0.999600177389712                                 0.9989629422680569-0.03568689693277216i
50.5                                              0.9996001579338345                                0.9989498809561972-0.03605011898657569i
51                                                0.9996001478869102                                0.9989366931656275-0.03641344123882971i
51.5                                              0.9996001256304418                                0.9989233496313229-0.03677706787840388i
52                                                0.9996001027387801                                0.9989098662127252-0.03714087476427154i
52.5                                              0.9996000780020143                                0.9988962402128853-0.03750489608297649i
53                                                0.999600031451253                                 0.9988824473132907-0.03786923984920978i
53.5                                              0.9995999829067301                                0.9988685096153672-0.03823383744682504i
54                                                0.9995995961272567                                0.998854040426058-0.03859998059991182i
54.5                                              0.9995999549999887                                0.9988403411581601-0.038962070158421534i
55                                                0.9995999052817642                                0.9988259651123503-0.03932762460019499i
55.5                                              0.9995998724427687                                0.9988114784200182-0.03969301656484533i
56                                                0.9995998259199479                                0.9987968380591632-0.040058560411076354i
56.5                                              0.9995997757451509                                0.9987820517554737-0.040424309034071425i
57                                                0.9995997201134423                                0.9987671169691061-0.040790274724400444i
57.5                                              0.9995996577833496                                0.9987520317713982-0.041156468180515555i
58                                                0.9995995879976196                                0.9987367949685929-0.041522893695812226i
58.5                                              0.9995995097549695                                0.9987214051438191-0.04188955490251607i
59                                                0.9995994217792697                                0.9987058606018823-0.042256455375529994i
59.5                                              0.9995993225281468                                0.9986901593794353-0.0426235985975854i
60                                                0.999599210169838                                 0.9986742992214817-0.042990987970114025i
60.5                                              0.9995990825376815                                0.9986582775370482-0.04335862678764817i
61                                                0.9995989370717441                                0.998642091342108-0.04372651821059231i
61.5                                              0.9995987707518326                                0.9986257371945599-0.044094665223769515i
62                                                0.9995985800483504                                0.9986092111538977-0.044463070443555935i
62.5                                              0.9995983615491836                                0.9985925095438039-0.04483173312309387i
63                                                0.9995981213599502                                0.9985756400178158-0.045200612709908126i
63.5                                              0.9995978144652019                                0.9985585509279329-0.04556984806113784i
64                                                0.9995974773643702                                0.9985412843532847-0.0459393099132463i
64.5                                              0.9995970860955521                                0.9985238146987486-0.04630902730761747i
65                                                0.9995966335055922                                0.9985061343641889-0.04667900333980575i
65.5                                              0.9995961109751578                                0.998488234722023-0.047049231644717915i
66                                                0.9995955100426321                                0.9984701074569468-0.04741970278589967i
