% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:45
% Table:              Table 8 - tickle Z
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              Lumped port impedance (Ω)
30                                                4692.727156263634                                 90.46542348223161-4691.855088372653i
35                                                4017.934102925366                                 66.33074192698426-4017.3865495028085i
40                                                3511.121491015542                                 50.661857320619255-3510.7559728474475i
42                                                3341.9933200537625                                45.90555288272474-3341.6780263063197i
44                                                3188.153345243397                                 41.77899852076274-3187.8795880756325i
46                                                3047.5897663380074                                38.18114108008185-3047.3505844182046i
48                                                2918.6476388814644                                35.02418050992673-2918.4374837792834i
50                                                2799.93457498673                                  32.238616982640266-2799.748970136638i
50.5                                              2771.7094311356905                                31.593617317550734-2771.5293637252566i
51                                                2744.0395668160418                                30.966925976331908-2743.864827892866i
51.5                                              2716.8935852669456                                30.359104003990968-2716.7239606682074i
52                                                2690.2658082029725                                29.768785195707675-2690.1011018573195i
52.5                                              2664.139108732065                                 29.195339991660475-2663.979133326395i
53                                                2638.4918856599875                                28.639363138922512-2638.3364488958937i
53.5                                              2613.3158434271927                                28.098934574772738-2613.164776163827i
54                                                2588.5103372935578                                27.594162821499577-2588.363252801621i
54.5                                              2564.440137685072                                 27.059926293681176-2564.297365782528i
55                                                2540.5876389429914                                26.56228192618125-2540.448778528864i
55.5                                              2517.184604898239                                 26.077436226236774-2517.049523242753i
56                                                2494.1987707765957                                25.60643353876013-2494.067324413057i
56.5                                              2471.615875042161                                 25.148090774927052-2471.48793387522i
57                                                2449.4246767831796                                24.70205728357598-2449.3001154616277i
57.5                                              2427.614444772572                                 24.26796417537108-2427.493142808693i
58                                                2406.1752091843478                                23.845436485123074-2406.0570509553954i
58.5                                              2385.0973823436902                                23.434128934040313-2384.9822567188685i
59                                                2364.371706808041                                 23.033724960608875-2364.2595067946345i
59.5                                              2343.989243195433                                 22.643934329198572-2343.879865618969i
60                                                2323.9413559685486                                22.264492583305024-2323.8347011676506i
60.5                                              2304.2197018469406                                21.895161720434864-2304.1156733707708i
61                                                2284.816218783558                                 21.53573141193906-2284.7147230866585i
61.5                                              2265.723116131503                                 21.18602049903821-2265.624062263654i
62                                                2246.932872904979                                 20.845877518514552-2246.8361722055984i
62.5                                              2228.4383768752705                                20.51515010396085-2228.3439429645287i
63                                                2210.2347100220004                                20.193258527515457-2210.1424627602805i
63.5                                              2192.3082657478762                                19.881951970764973-2192.2181095986534i
64                                                2174.6589978952825                                19.579237781189043-2174.5708566461617i
64.5                                              2157.2791165864755                                19.28592022673993-2157.192907493702i
65                                                2140.162347508858                                 19.001997992023057-2140.077988711378i
65.5                                              2123.303033267173                                 18.727536253740347-2123.220443210606i
66                                                2106.695812850044                                 18.46258418832296-2106.6149104345095i
66.5                                              2090.3356506956684                                18.20713585727713-2090.2563557547574i
67                                                2074.217844042222                                 17.9610692988852-2074.1400783295244i
67.5                                              2058.338010693417                                 17.724063730219257-2058.261699548971i
68                                                2042.6920394562603                                17.495499184653564-2042.6171142840883i
68.5                                              2027.2759832404065                                17.274354686688817-2027.202384788829i
69                                                2012.0858845220237                                17.05913817562681-2012.0135666782865i
69.5                                              1997.1175403774164                                16.847896720467514-1997.0464737855345i
70                                                1982.3662514607402                                16.638355586528956-1982.296425879309i
70.5                                              1967.826642515806                                 16.42820350425372-1967.7580667156856i
71                                                1953.4926471140593                                16.215476379324404-1953.4253455544408i
71.5                                              1939.3577117824898                                15.99892332978947-1939.291718309162i
72                                                1925.415174230109                                 15.778218341493867-1925.3505241855387i
72.5                                              1911.658690235857                                 15.55393830060721-1911.5954129882225i
73                                                1898.0825620762712                                15.32733253667617-1898.0206756869989i
73.5                                              1884.6818852859637                                15.099990784099607-1884.6213940745167i
74                                                1871.4525142419384                                14.873529265087406-1871.3934089842448i
74.5                                              1858.3909143135932                                14.649370700940976-1858.333174202457i
75                                                1845.4939740902698                                14.428635434966802-1845.4375694894104i
75.5                                              1832.7588352948835                                14.212120865986346-1832.7037305500169i
76                                                1820.1827726389604                                14.000330225897539-1820.1289285556722i
76.5                                              1807.7631136016537                                13.793525927684158-1807.7104894150577i
77                                                1795.496611091629                                 13.591977624289994-1795.4451644608323i
77.5                                              1783.3773658615314                                13.396560596099503-1783.3270483092579i
78                                                1772.916882474336                                 13.353900327265428-1772.8665898788233i
78.5                                              1759.6149244781664                                13.011872932345591-1759.566814192941i
79                                                1747.932449850075                                 12.831052909628006-1747.8853547415847i
79.5                                              1736.3943899420506                                12.653421322457692-1736.3482854401827i
80                                                1724.9950585750398                                12.479793877894421-1724.9499143027517i
80.5                                              1713.7307801241946                                12.310100537437002-1713.6865664904533i
81                                                1702.5984958048452                                12.144201900152279-1702.5551845027314i
81.5                                              1691.5951541709092                                11.981940725108409-1691.5527182771934i
82                                                1680.7176031438653                                11.82315717354506-1680.6760171050544i
