% Model:              biconAndDipole_fullFeature_addCablesV1_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 2 2022, 12:52
% Table:              Table 8 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
30                                                0.9996012986642694                                0.9993730005536001-0.021362632229853223i
35                                                0.9996009883395918                                0.999289546253499-0.024950724197202907i
40                                                0.9996009312341145                                0.9991930785300095-0.02855194462433629i
42                                                0.9996008974369894                                0.9991507194876638-0.029996564871972393i
44                                                0.999600862496955                                 0.9991061892973132-0.03144370863078375i
46                                                0.9996008172228338                                0.9990594617033601-0.03289355215767064i
48                                                0.9996007612957625                                0.9990105196890827-0.034346230267915445i
50                                                0.9996007020384555                                0.9989593532450315-0.03580187257730345i
50.5                                              0.9996006811428904                                0.9989462058029478-0.03616627784587492i
51                                                0.9996006701771097                                0.9989329308623016-0.03653080148832071i
51.5                                              0.9996006481180484                                0.9989195005847799-0.03689562398816993i
52                                                0.9996006251314635                                0.9989059290376153-0.03726063199559751i
52.5                                              0.999600600300355                                 0.9988922139643609-0.037625855501336875i
53                                                0.9996005524738093                                0.9988783293617803-0.03799141531140262i
53.5                                              0.9996005036156953                                0.998864300402057-0.03835721850005474i
54                                                0.9996001315833927                                0.9988497549758019-0.038724540621117035i
54.5                                              0.9996004753732625                                0.9988359466504652-0.03908787593770563i
55                                                0.9996004257893316                                0.9988214769409609-0.03945463774628397i
55.5                                              0.9996003924942595                                0.9988068949424981-0.0398212416933876i
56                                                0.9996003453696308                                0.9987921580095922-0.040188002707612476i
56.5                                              0.9996002944005761                                0.9987772739241508-0.04055497082183855i
57                                                0.9996002380869194                                0.9987622405045249-0.04092215690561401i
57.5                                              0.9996001750950868                                0.9987470556990413-0.04128957232309634i
58                                                0.9996001046186913                                0.9987317182512977-0.04165722161293535i
58.5                                              0.9996000256298603                                0.9987162267116564-0.04202510847158731i
59                                                0.999599936850474                                 0.9987005793795535-0.04239323647016917i
59.5                                              0.9995998367940488                                0.9986847743511822-0.0427616089245637i
60                                                0.9995997239484996                                0.9986688097430874-0.043130227964174955i
60.5                                              0.9995995978392651                                0.9986526849642988-0.043499089806770995i
61                                                0.9995994582842581                                0.9986363998578256-0.04386818757577517i
61.5                                              0.9995992950853114                                0.9986199422669583-0.04423755917530239i
62                                                0.9995990858607449                                0.9986032845360059-0.04460731517966258i
62.5                                              0.9995988638167919                                0.9985864744783811-0.04497712232523023i
63                                                0.9995986095439225                                0.998569477413494-0.04534731502839856i
63.5                                              0.9995983146171047                                0.9985522905272962-0.04571776096930356i
64                                                0.9995979732419037                                0.9985349074086629-0.046088467057331314i
64.5                                              0.9995975781123535                                0.9985173203136111-0.04645943609007845i
65                                                0.9995971210245866                                0.9984995208613121-0.04683066517114901i
65.5                                              0.9995965933204904                                0.998481500363371-0.04720214836256423i
66                                                0.9995959864686011                                0.9984632504335739-0.047573876211196804i
66.5                                              0.999595293049807                                 0.9984447640100776-0.047945835149570855i
67                                                0.9995945082945505                                0.9984260369274205-0.048318006974931514i
67.5                                              0.9995936322667526                                0.9984070701124171-0.048690368840034665i
68                                                0.9995926726431502                                0.9983878723308315-0.04906289417259645i
68.5                                              0.9995916477279655                                0.9983684630932026-0.04943555510384728i
69                                                0.9995905888802098                                0.9983488748729331-0.04980832679214529i
69.5                                              0.9995895410495944                                0.9983291533302919-0.05018119355457166i
70                                                0.9995885599843619                                0.9983093541541547-0.05055415571369783i
70.5                                              0.9995877053673036                                0.9982895358893786-0.05092723490668245i
71                                                0.9995870307932445                                0.9982697497995109-0.05130047529289367i
71.5                                              0.9995865734545931                                0.9982500297364132-0.05167393890487662i
72                                                0.9995863472568428                                0.9982303857115626-0.05204769605297151i
72.5                                              0.9995863418800639                                0.9982108035395977-0.05242181387551065i
73                                                0.9995865276308126                                0.9981912501940099-0.05279634700568679i
73.5                                              0.9995868635870351                                0.9981716822352686-0.05317133287195003i
74                                                0.9995873058904631                                0.9981520541453623-0.05354679171292841i
74.5                                              0.9995878139853787                                0.9981323244249077-0.05392272995869715i
75                                                0.9995883540884508                                0.9981124588438962-0.05429914483534581i
75.5                                              0.9995889002948799                                0.998092431322796-0.05467602883236087i
76                                                0.9995894342688453                                0.9980722234563504-0.05505337289219516i
76.5                                              0.9995899441975353                                0.9980518233621639-0.05543116834680417i
77                                                0.9995904173063468                                0.998031217193251-0.05580942463808692i
77.5                                              0.9995908181455073                                0.9980103633257494-0.05618824089798781i
78                                                0.9995934774690723                                0.9979922861956556-0.05655543203514176i
78.5                                              0.9995918017209037                                0.9979683882185845-0.0569461691779439i
79                                                0.9995920930844079                                0.997946915445972-0.057326316022726156i
79.5                                              0.9995923931071069                                0.9979252875141251-0.05770678380782919i
80                                                0.9995926706062233                                0.9979034663579606-0.05808768337994044i
80.5                                              0.9995929243530643                                0.9978814478697366-0.058469055183995165i
81                                                0.9995931552462066                                0.9978592306057359-0.058850929559317325i
81.5                                              0.9995933648680018                                0.9978368133925863-0.05923334303129376i
82                                                0.9995935550360796                                0.9978141945605612-0.05961634342297898i
82.5                                              0.999593727664589                                 0.9977913714093103-0.059999996062634856i
83                                                0.9995938847462892                                0.9977683395492546-0.060384393805857875i
83.5                                              0.9995940283953484                                0.9977450918178297-0.06076967465003672i
84                                                0.9995941609591821                                0.9977216162543479-0.061156055158120136i
84.5                                              0.9995942852513275                                0.9976978919222497-0.06154389946218478i
85                                                0.9995944050262292                                0.9976738792048072-0.061933878549409085i
85.5                                              0.9995945259185546                                0.9976494932746973-0.0623274001950955i
86                                                0.9995946545733321                                0.9976245070659417-0.06272811453420067i
86.5                                              0.9995948044522948                                0.9975980847911128-0.06314930173109684i
87                                                0.9995940801220822                                0.9975606034531892-0.06372728970559323i
87.5                                              0.9995926972802998                                0.9975635429616538-0.0636595492435944i
88                                                0.9995945269360915                                0.9975312506075147-0.06419207382532732i
88.5                                              0.9995952467381721                                0.9974972048648253-0.0647300825614176i
89                                                0.9995918424881008                                0.9974872525724371-0.0648307991948828i
89.5                                              0.9995936020327985                                0.9974580763144562-0.06530509336927186i
90                                                0.9995939359368071                                0.9974314101314538-0.06571619925724025i
90.5                                              0.9995940729624435                                0.9974050903438748-0.06611653694631699i
91                                                0.9995941399188725                                0.9973787842671775-0.06651319608827506i
91.5                                              0.9995941771848371                                0.9973523953886766-0.06690828404839234i
92                                                0.9995941801931065                                0.9973258485855939-0.06730287377930999i
92.5                                              0.9995941732576954                                0.9972991472341148-0.06769728308316952i
93                                                0.9995941513407179                                0.9972722624655147-0.06809186376861466i
93.5                                              0.9995941150525426                                0.997245180812534-0.06848681766480469i
94                                                0.9995940608797642                                0.9972178867374026-0.06888231207709627i
94.5                                              0.9995939810257781                                0.9971903594981714-0.06927852356157307i
95                                                0.9995938492346215                                0.9971625600683642-0.06967562145824782i
95.5                                              0.9995933451322957                                0.9971341033460596-0.0700745001910304i
96                                                0.999594469491845                                 0.9971074490861758-0.07046870522113038i
96.5                                              0.9995941179066347                                0.9970785733044227-0.07087114512098683i
97                                                0.9995939721894286                                0.9970497549242022-0.0712733852362039i
97.5                                              0.9995939274384773                                0.9970207343937828-0.07167757641523519i
98                                                0.9995923405411659                                0.9969897773007208-0.07208488902970678i
98.5                                              0.999593686853533                                 0.9969609935561805-0.07250045603244369i
99                                                0.9995893422880572                                0.9969285337461609-0.07288588216246372i
99.5                                              0.9995920869565833                                0.9968998027832483-0.07331523386676285i
100                                               0.9995921300002735                                0.9968682087429859-0.07374415743660201i
100.5                                             0.9995918477172324                                0.996835105794221-0.07418648043259042i
101                                               0.9995912703455736                                0.9967994556603402-0.07465623179833684i
101.5                                             0.9995900528700762                                0.9967580240496992-0.07519119156750309i
102                                               0.9995861174356695                                0.9966959915914176-0.07595726769517808i
102.5                                             0.9994430416036153                                0.996155310037564-0.08099994872745661i
103                                               0.9995941328899618                                0.9967880112239077-0.07484711877100765i
103.5                                             0.9995945875846032                                0.9967117190472273-0.07586230053428282i
104                                               0.9995940500921034                                0.9966666213424714-0.07644547652619745i
104.5                                             0.9995936277777016                                0.9966284661639164-0.07693582472129294i
105                                               0.9995932846535637                                0.9965928267474032-0.07739168172433532i
105.5                                             0.9995929702126811                                0.9965582626882638-0.07783145357989513i
106                                               0.9995929655862558                                0.9965245368053531-0.07826202396055054i
106.5                                             0.9995925623362578                                0.9964904916830648-0.07868920296463328i
107                                               0.9995923215199368                                0.9964566430333007-0.07911363849818717i
107.5                                             0.9995921016405886                                0.996422701352969-0.07953722330268397i
108                                               0.9995919004323605                                0.9963885622730588-0.07996124299562112i
108.5                                             0.9995917103791135                                0.9963540695683937-0.08038753331917887i
