% Model:              biconAndDipole_fullFeature_addCablesV1_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 2 2022, 12:52
% Table:              Table 10 - tickle Impedance
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              Lumped port impedance (Ω)
30                                                4677.797685307217                                 89.25270942230993-4676.9461338063675i
35                                                4005.1230051936122                                65.48146424402341-4004.587677223658i
40                                                3499.9033881816104                                50.012670364898526-3499.5460361892783i
42                                                3331.310976822468                                 45.31513161003323-3331.002756400095i
44                                                3177.948533960909                                 41.243285111241974-3177.6808958637625i
46                                                3037.8255472414803                                37.69148828008625-3037.591711732212i
48                                                2909.2874976694957                                34.57488938580924-2909.082040974437i
50                                                2790.945005865988                                 31.824674821245342-2790.7635542698386i
50.5                                              2762.8092977362367                                31.18805207743298-2762.633258517209i
51                                                2735.225794806348                                 30.569425880933657-2735.0549644888906i
51.5                                              2708.165069547846                                 29.969361592430296-2707.999239528112i
52                                                2681.62061883792                                  29.386592232317508-2681.4595972293973i
52.5                                              2655.575692348307                                 28.820482082096202-2655.4192960065166i
53                                                2630.007890562742                                 28.27169028078393-2629.855930645432i
53.5                                              2604.910635776105                                 27.738198433786067-2604.762947511178i
54                                                2580.184963855063                                 27.239094144084614-2580.0411778601447i
54.5                                              2556.186901101527                                 26.712457805905863-2556.0473231067135i
55                                                2532.409265675763                                 26.22117828971244-2532.27351182481i
55.5                                              2509.0793892783618                                25.74255833181419-2508.9473295372322i
56                                                2486.1651550667275                                25.277612953796215-2486.036649076462i
56.5                                              2463.6525442358443                                24.82517650366093-2463.5274647000206i
57                                                2441.5304423447556                                24.384886510502533-2441.4086667754023i
57.5                                              2419.7881127640185                                23.956384175653568-2419.6695233711725i
58                                                2398.415603706582                                 23.539302157675298-2398.3000874279965i
58.5                                              2377.403355450821                                 23.133301242673806-2377.2908036002746i
59                                                2356.7421414772057                                22.738069255775198-2356.6324494118903i
59.5                                              2336.423061282979                                 22.35331708635617-2336.3161281192583i
60                                                2316.4375766769854                                21.97876831142043-2316.33330511493i
60.5                                              2296.777746665749                                 21.61410710818596-2296.6760433184545i
61                                                2277.4360411439848                                21.259017621698387-2277.3368164747494i
61.5                                              2258.4028433212416                                20.913664742532042-2258.306007021304i
62                                                2239.6652239153536                                20.57873947361734-2239.5706799959426i
62.5                                              2221.2329376858456                                20.252539866629473-2221.140607455872i
