% Model:              biconAndDipole_fullFeature_addCablesV2_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 5 2022, 16:48
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              Lumped port voltage (V)
30                                                8.923350643479848E-5                              -4.823353084833197E-5-7.507426438235828E-5i
35                                                1.2941102733420915E-4                             -8.167622377048945E-5-1.0038031911828316E-4i
40                                                1.8837613858057063E-4                             -1.3573685985431616E-4-1.3061804800032836E-4i
42                                                2.2838043715715445E-4                             -1.725513703886592E-4-1.4961165948243713E-4i
44                                                2.631036363916622E-4                              -2.0791823545537652E-4-1.6122509372811227E-4i
46                                                3.0976984748315814E-4                             -2.5527911814403803E-4-1.7547059653782833E-4i
48                                                3.6728502960947667E-4                             -3.147592661269434E-4-1.8927466117381418E-4i
50                                                4.203949061211658E-4                              -3.7502656793560136E-4-1.899656559356654E-4i
50.5                                              4.559282547908587E-4                              -4.084508446059514E-4-2.0257956722562887E-4i
51                                                4.7826893826234906E-4                             -4.320971630183797E-4-2.0502004540547356E-4i
51.5                                              5.014653011332291E-4                              -4.5678614200174206E-4-2.0691512442497895E-4i
52                                                5.260842654209758E-4                              -4.8305027842747254E-4-2.083916573058264E-4i
52.5                                              5.525526726997132E-4                              -5.113118023519398E-4-2.094628771004714E-4i
53                                                5.816697603111386E-4                              -5.423480910534644E-4-2.1023381790539938E-4i
53.5                                              6.163240490519817E-4                              -5.789994487040757E-4-2.112225647041666E-4i
54                                                6.98381006829226E-4                               -6.642003953627669E-4-2.1580979009245025E-4i
54.5                                              6.378696889646437E-4                              -6.07423457588448E-4-1.9471641756961893E-4i
55                                                6.865663026234923E-4                              -6.577538173618344E-4-1.968075294393674E-4i
55.5                                              7.266484764549843E-4                              -7.004219838178057E-4-1.934607270716189E-4i
56                                                7.670157941763316E-4                              -7.436358069185515E-4-1.879335392753072E-4i
56.5                                              8.092306785936804E-4                              -7.888509508798328E-4-1.8046736124067457E-4i
57                                                8.539381086565529E-4                              -8.366566529270785E-4-1.7092670513640907E-4i
57.5                                              9.015684228774679E-4                              -8.874280847902825E-4-1.5905035509302022E-4i
58                                                9.525016307952534E-4                              -9.414779166995221E-4-1.444945986351914E-4i
58.5                                              0.0010071282216273444                             -9.991090987156923E-4-1.2683951932175854E-4i
59                                                0.0010658949059175209                             -0.0010606527464241326-1.0558267833250526E-4i
59.5                                              0.0011294031020119076                             -0.0011265592511321765-8.009756876852718E-5i
60                                                0.0011987909244310755                             -0.0011977604369006428-4.9695234116497664E-5i
60.5                                              0.0012807756794938423                             -0.0012807078463808977-1.3181555345109207E-5i
61                                                0.0013303271351060356                             -0.0013300241909383122+2.8389045745156532E-5i
61.5                                              0.0014254021832719936                             -0.0014232005125225428+7.919397219572819E-5i
