% Model:              biconAndDipole_box_moveBicon_1.5.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 7 2022, 14:17
% Table:              Table 5 - Global Evaluation 4
% biconX (m)                                      biconY (m)                                        biconZ (m)                                        freq (MHz)                                        10 * log10( abs(emw.Pport_1) /.001)
-0.698                                            -0.3122                                           -1.204                                            60                                                -68.13112295473313
-0.698                                            -0.3122                                           -1.204                                            62.22222222222222                                 -65.11358288819363
-0.698                                            -0.3122                                           -1.204                                            64.44444444444444                                 -61.8220114719894
-0.698                                            -0.3122                                           -1.204                                            66.66666666666667                                 -58.094293634216776
-0.698                                            -0.3122                                           -1.204                                            68.88888888888887                                 -53.61833629579203
-0.698                                            -0.3122                                           -1.204                                            71.11111111111111                                 -47.69006521311795
-0.698                                            -0.3122                                           -1.204                                            73.33333333333333                                 -39.87949144972405
-0.698                                            -0.3122                                           -1.204                                            75.55555555555554                                 -42.47558746844472
-0.698                                            -0.3122                                           -1.204                                            77.77777777777777                                 -47.02582062255921
-0.698                                            -0.3122                                           -1.204                                            80                                                -49.772823771977166
-0.698                                            -0.3122                                           -1.204                                            100                                               -37.46428416350427
-0.698                                            -0.3122                                           -1.204                                            101.0204081632653                                 -36.60661872149498
-0.698                                            -0.3122                                           -1.204                                            102.04081632653062                                -35.856467224714564
-0.698                                            -0.3122                                           -1.204                                            103.06122448979592                                -35.473730946944706
-0.698                                            -0.3122                                           -1.204                                            104.08163265306122                                -35.82264855858277
-0.698                                            -0.3122                                           -1.204                                            105.10204081632652                                -37.17857306457613
-0.698                                            -0.3122                                           -1.204                                            106.12244897959182                                -39.60714993513704
-0.698                                            -0.3122                                           -1.204                                            107.14285714285712                                -43.31747800915004
-0.698                                            -0.3122                                           -1.204                                            108.16326530612244                                -49.88349561484421
-0.698                                            -0.3122                                           -1.204                                            109.18367346938776                                -65.62754153987
-0.698                                            -0.3122                                           -1.204                                            110.20408163265306                                -46.5556444558823
-0.698                                            -0.3122                                           -1.204                                            111.22448979591837                                -40.17993522307891
-0.698                                            -0.3122                                           -1.204                                            112.24489795918367                                -35.82962718540879
-0.698                                            -0.3122                                           -1.204                                            113.26530612244898                                -32.60318581555565
-0.698                                            -0.3122                                           -1.204                                            114.28571428571429                                -31.196678931951617
-0.698                                            -0.3122                                           -1.204                                            115.30612244897958                                -31.171488264397176
-0.698                                            -0.3122                                           -1.204                                            116.32653061224488                                -31.76556460326021
-0.698                                            -0.3122                                           -1.204                                            117.3469387755102                                 -32.606083588435276
-0.698                                            -0.3122                                           -1.204                                            118.3673469387755                                 -33.372599347521025
-0.698                                            -0.3122                                           -1.204                                            119.38775510204081                                -34.01256613872961
-0.698                                            -0.3122                                           -1.204                                            120.40816326530611                                -34.539669202087325
-0.698                                            -0.3122                                           -1.204                                            121.42857142857143                                -35.05859328727364
-0.698                                            -0.3122                                           -1.204                                            122.44897959183673                                -34.448149382250755
-0.698                                            -0.3122                                           -1.204                                            123.46938775510205                                -34.207638196406705
-0.698                                            -0.3122                                           -1.204                                            124.48979591836735                                -34.480832960202406
-0.698                                            -0.3122                                           -1.204                                            125.51020408163264                                -34.313116104388335
-0.698                                            -0.3122                                           -1.204                                            126.53061224489794                                -33.869353970129
-0.698                                            -0.3122                                           -1.204                                            127.55102040816325                                -33.037174763805076
-0.698                                            -0.3122                                           -1.204                                            128.57142857142858                                -31.41905696537988
-0.698                                            -0.3122                                           -1.204                                            129.59183673469389                                -27.455475877736752
-0.698                                            -0.3122                                           -1.204                                            130.6122448979592                                 -41.28817044343246
-0.698                                            -0.3122                                           -1.204                                            131.6326530612245                                 -42.44943084029135
-0.698                                            -0.3122                                           -1.204                                            132.6530612244898                                 -37.94800605174628
-0.698                                            -0.3122                                           -1.204                                            133.67346938775512                                -35.92602317492333
-0.698                                            -0.3122                                           -1.204                                            134.69387755102042                                -34.479799378434834
-0.698                                            -0.3122                                           -1.204                                            135.71428571428572                                -33.21732663726627
-0.698                                            -0.3122                                           -1.204                                            136.73469387755102                                -32.083832898411906
-0.698                                            -0.3122                                           -1.204                                            137.75510204081633                                -31.6206914674682
-0.698                                            -0.3122                                           -1.204                                            138.77551020408163                                -26.341377762250776
-0.698                                            -0.3122                                           -1.204                                            139.79591836734693                                -27.76396977498059
-0.698                                            -0.3122                                           -1.204                                            140.81632653061223                                -31.50641718559544
-0.698                                            -0.3122                                           -1.204                                            141.83673469387753                                -31.77313459238458
-0.698                                            -0.3122                                           -1.204                                            142.85714285714286                                -38.7814573539996
-0.698                                            -0.3122                                           -1.204                                            143.87755102040813                                -54.27601297093
-0.698                                            -0.3122                                           -1.204                                            144.89795918367346                                -35.18766973796394
-0.698                                            -0.3122                                           -1.204                                            145.9183673469388                                 -27.03657354934436
-0.698                                            -0.3122                                           -1.204                                            146.9387755102041                                 -15.212459674002382
